ztfname,ra,dec,coord_source,iau_name,ztfname,z,t0,x0,x1,c,mwebv,mwr_v,z_err,t0_err,x0_err,x1_err,c_err,mwebv_err,mwr_v_err,cov_t_x0,cov_t_x1,cov_t_c,cov_x0_x1,cov_x0_c,cov_x1_c,fitprob,lccoverage_flag,fitquality_flag,frac_fitted,peak_mag_ztfg,peak_mag_ztfr,phot_version
ZTF18acrcetn,15.951274,10.592342,fritz,2018jag,ZTF18acrcetn,0.03983089,58454.13835461206,0.0004622790939586653,-0.8320183981215981,0.5778979572751386,0.03053802091211596,3.1,0.0,0.4664956159722351,6.07612271819448e-05,0.19725256025015137,0.09619647523122243,0.0,0.0,-6.5823330936131495e-06,-0.040511348923502374,0.009493239411186195,-2.2306053432191125e-06,-5.701979576970876e-06,0.0018318299434649126,0.01941158686736929,0.0,1.0,100.0,18.669233075175235,18.145239476675847,2022dec05
ZTF18acybqhe,203.210417,7.310819,tns,2018efm,ZTF18acybqhe,0.03142093,58335.62540287805,0.00392933603112637,-1.061784628152783,0.042797125528623574,0.031030595137028827,3.1,0.0,7.62147541729064,0.0006143485721512704,6.486402339560639,0.43097693835337086,0.0,0.0,-0.0038778691441294106,183.28728830161435,3.032172059152021,-0.016434270743363757,-0.00027860468198310964,12.750176572300866,0.0,0.0,0.0,100.0,16.58046083759126,16.653429482440405,2022dec05
ZTF18adathpb,41.731339,39.601031,fritz,2018ldz,ZTF18adathpb,0.03118157,58484.12883137124,0.00020121353677720854,-3.9873400588697234,0.9097009029744476,0.074525710655466,3.1,0.0,0.23616340798980673,9.3312223799623e-06,0.25680868712688065,0.0416125424431531,0.0,0.0,-2.749407478968076e-07,-0.012399586092636838,-0.000643372003149685,-1.946820340938445e-07,-3.3743913491728556e-07,0.0005425320981796263,6.0693321617232485e-15,1.0,0.0,96.875,19.403784335942465,18.439318436506987,2022dec05
ZTF19aaafica,195.060513,27.956839,fritz,2019be,ZTF19aaafica,0.02167012,58490.083159885224,0.0004470873249121402,-2.460360038438565,0.5796066405466447,0.008618985728728107,3.1,0.0,0.1582721425620548,1.6738956842748536e-05,0.14781871327674478,0.03607336413989226,0.0,0.0,-6.174459072811053e-07,-0.0012428579757918742,0.001245544667341166,6.435299968973045e-09,-5.218478532927457e-07,-0.0005176075821951771,8.53642134653356e-55,1.0,0.0,94.33962264150944,18.700993224616163,18.13647782050062,2022dec05
ZTF19aaaonuk,163.708502,-7.380991,fritz,2019cp,ZTF19aaaonuk,0.05061655,58492.52468147098,0.00030159314948139613,-2.587991078915853,0.3056398601147264,0.025976233557712416,3.1,0.0,0.4352687047467043,1.5317193437416925e-05,0.20218653084064786,0.04516799057704715,0.0,0.0,1.696287044483582e-06,-0.06512118560783195,-0.006898598182536906,-6.273967119870126e-07,-6.272487848504347e-07,0.0014986574313985651,0.002150377470154826,1.0,1.0,100.0,19.25219721152571,18.99275346111764,2022dec05
ZTF19aaarhtg,318.10136,13.004712,fritz,2020pki,ZTF19aaarhtg,0.02801,59047.51030568987,0.0005533261176466064,-2.108299142544755,0.5952541586999313,0.07765882914270211,3.1,0.0,0.22504533242317848,2.5313090842974263e-05,0.1450656632724162,0.03840433052277076,0.0,0.0,-1.3718903267149987e-06,-0.008824801512909118,0.000839104884275188,-3.427716120895679e-07,-8.678871419944559e-07,0.00014570030377850457,7.103156605584296e-22,1.0,0.0,98.05825242718447,18.463042067539714,17.889341482960525,2022dec05
ZTF19aablual,35.42436,-25.927242,fritz,2019op,ZTF19aablual,0.03997614,58497.48855306326,0.0008564615905684937,-4.99999904625976,0.10361933462093367,0.011662968891140841,3.1,0.0,0.49638759635126917,6.840745133240448e-05,2.050381729298511,0.08721555134757608,0.0,0.0,1.891362567314573e-05,-1.8048138639113894e-07,0.0003701569554277353,-9.673800884677705e-11,-3.596178959922759e-06,6.399891715218557e-08,0.2796964429986031,0.0,0.0,100.0,18.1981113275492,18.122395512165806,2022dec05
ZTF19aaejslw,224.365926,8.785796,fritz,2019afa,ZTF19aaejslw,0.07849334,58509.73093286645,0.0002883823373546874,-2.232810418435154,0.2071268340253376,0.030005752037938472,3.1,0.0,0.8587996482929157,1.748504223760217e-05,0.6652611865077934,0.06980785168962328,0.0,0.0,1.5963684332431237e-06,-0.30485747901540666,-0.005728715421140887,-3.402300097408558e-06,-8.230798566820749e-07,-0.00020603460775749766,0.009785928719707664,1.0,1.0,100.0,19.34441447564189,19.204680696885916,2022dec05
ZTF19aaeopqn,199.74858,32.974644,fritz,2019abk,ZTF19aaeopqn,0.03799387,58513.964065250795,0.00039252106442285773,-3.10713272491272,0.33391282339019984,0.012591755030137815,3.1,0.0,0.17427584872712032,1.681872387373606e-05,0.25930381464282215,0.040052527959705736,0.0,0.0,3.0854827605002136e-07,-0.013193343973030628,0.00014841982850832884,-1.3127844720517253e-06,-5.547811049588055e-07,0.0007098901563512268,4.588375609802053e-20,1.0,0.0,100.0,18.95227942333273,18.64961655748292,2022dec05
ZTF19aahjhoy,184.880145,49.814177,fritz,2019arb,ZTF19aahjhoy,0.01370087,58521.84805972617,0.0017376226808253298,-3.0423226902968623,0.5793512894939877,0.013980200346322332,3.1,0.0,0.20032565014844295,7.302437361193478e-05,0.14679726942960225,0.03980965599137937,0.0,0.0,-4.008223561963165e-06,0.00680911239329771,0.0010734086556579221,-1.24303167855766e-06,-2.490609835035213e-06,0.0001610250988438768,2.0450643191056566e-28,0.0,0.0,100.0,17.22574520147772,16.648179104918363,2022dec05
ZTF19aaktdid,192.420123,-12.348103,fritz,2019bbe,ZTF19aaktdid,0.04646881,58535.65262253698,0.0004837350001518375,-4.999999877945071,0.24432767146985088,0.03889506953598183,3.1,0.0,0.7854788982258469,5.308111652119055e-05,1.2636915163607971,0.18086468012228157,0.0,0.0,-2.236455732038871e-05,8.603117482693916e-07,0.002681287727152641,-3.939173797726237e-11,-6.039488130789489e-06,-8.3520669997575e-08,0.8146001083500984,0.0,0.0,100.0,18.759044256510396,18.520127166141403,2022dec05
ZTF19aanhgqg,212.204831,35.614174,fritz,2019cdc,ZTF19aanhgqg,0.02777309,58575.14461656687,0.00247254726431238,-2.230083710799962,0.0762716326164261,0.011352565342196017,3.1,0.0,0.13608884798304643,9.180219066232988e-05,0.12371174824574394,0.0380550591686076,0.0,0.0,9.438929719862272e-07,-0.0006782273745142605,-0.0008049671878637867,-2.217759254559695e-06,-2.777463121210827e-06,-0.00015086046099780333,0.03721974780197214,1.0,1.0,100.0,17.06651715222115,17.076860411519498,2022dec05
ZTF19aanmclt,227.838489,11.394106,fritz,2019cmt,ZTF19aanmclt,0.04578729,58567.541633614564,0.0003066650944204528,-2.700310636210287,0.4666275984070705,0.040932892353659225,3.1,0.0,0.3316524388937978,1.893995707452921e-05,0.3601531928178734,0.05449696440693269,0.0,0.0,-1.8472935375802617e-06,0.00980707163701182,0.003695445811517469,-2.1764824647203034e-06,-8.833239036276888e-07,0.0030194822771824944,0.004159433458845699,1.0,1.0,100.0,19.161871270008955,18.71818235028983,2022dec05
ZTF19aanxgrz,268.958376,62.612629,fritz,2019cnu,ZTF19aanxgrz,0.02761933,58581.685115358996,0.00208615721675734,-2.0721249076413275,0.2069309806358658,0.03496555766734598,3.1,0.0,0.09245316229134914,7.211106198176881e-05,0.07022633558986557,0.031988533873100855,0.0,0.0,4.951546378944574e-08,0.00020276813589254562,-0.0002065764403547508,-6.479893633656475e-07,-1.9627699454188207e-06,-9.355600334599852e-05,1.114137237635681e-40,1.0,0.0,100.0,17.196477060514855,17.06037285627365,2022dec05
ZTF19aarnrbw,226.86359,3.20419,fritz,2019dwr,ZTF19aarnrbw,0.04180915,58605.244251391625,0.0005701513646680245,-1.614683902888816,0.1250348580443288,0.039942776861848245,3.1,0.0,0.23930750436193193,3.613460541569761e-05,0.23598519680402064,0.04782069825496284,0.0,0.0,4.978628352851845e-06,-0.01802065970062647,-0.004913051492981752,-4.390243427946862e-06,-1.460954313051039e-06,0.0024073705282547497,2.0711390419237792e-06,1.0,1.0,100.0,18.640746550535653,18.607866718873712,2022dec05
ZTF19aauhwbp,181.004251,65.096335,fritz,2019fch,ZTF19aauhwbp,0.03941725,58624.05043096699,0.0008780573583918051,-2.644985049217029,0.1680053451835775,0.01934328802972203,3.1,0.0,0.13985260147819645,4.601885379050286e-05,0.2563885231094496,0.0429488187800986,0.0,0.0,1.2721908736814685e-07,-0.004035097947766775,0.0005609461073658396,-6.745609059930319e-06,-1.7128883011598831e-06,0.003932143622055442,3.814109772658934e-15,1.0,0.0,100.0,18.151050544720597,18.04746174059831,2022dec05
ZTF19aavhvkd,154.846936,44.408572,fritz,2019fma,ZTF19aavhvkd,0.02343621,58630.66922367349,0.0038585511946841976,-1.975942326636617,0.05551276056950981,0.011646044286218541,3.1,0.0,0.5856387671556149,0.00017847442261980577,0.16862642811790407,0.03841738154844958,0.0,0.0,-6.412336039284295e-05,-0.055735315938715245,0.00487211040453671,8.623668261728516e-06,-5.234083044222773e-06,-0.0011888657448736596,0.01853836469130896,0.0,1.0,100.0,16.592581593552737,16.632013558325482,2022dec05
ZTF19aavvvrc,27.666296,33.085966,fritz,2019hvu,ZTF19aavvvrc,0.03568135,58643.65856004611,0.0018553757191629944,-2.4232955192122816,-0.09410599040570239,0.0399597047398966,3.1,0.0,0.13536694365757285,0.00017057781543694279,0.09364109327947268,0.06921652520294906,0.0,0.0,-1.6993301961719958e-06,-0.0014715561363911037,0.0006421223006300371,-6.61940433850022e-06,-1.1539070149256064e-05,0.0024299430651467803,0.16934712130100552,1.0,1.0,100.0,17.446613437482213,17.650605379301677,2022dec05
ZTF19aayabqe,243.522633,60.783144,fritz,2019hep,ZTF19aayabqe,0.02693178,58648.58567331901,0.0003118184626590037,-3.054214987664957,0.6500643857768756,0.009227765513562284,3.1,0.0,0.14221706825264846,1.1567203476363017e-05,0.12270715144430255,0.032645269420078005,0.0,0.0,-7.606142266124731e-08,-0.0026758465152358305,-0.00010921205155231134,-1.3924517104260728e-07,-3.350598763956647e-07,0.00030970743593770856,8.121137689824356e-30,1.0,0.0,96.66666666666667,19.057516176003926,18.40098672388208,2023jan01
ZTF19aaynsws,357.660904,6.106474,fritz,2019hhz,ZTF19aaynsws,0.05536476,58645.65196113984,0.0006882522838817281,-2.137094115423874,0.024342749646429285,0.068473400441012,3.1,0.0,0.5808075913300854,3.0908927776395216e-05,0.21875037396159425,0.056082751761236324,0.0,0.0,-5.309694801609035e-09,-0.04882418473782198,-0.013784366023251875,-6.168913762031396e-07,-1.1097219523232684e-06,-0.001792705198186802,0.011602198336680617,0.0,1.0,100.0,18.47659872051618,18.5487210038691,2022dec05
ZTF19abalrbb,273.342558,11.492815,fritz,2019iaf,ZTF19abalrbb,0.04994214,58660.16801451769,0.00046075935609009056,-2.4607784891303393,0.36301092298768095,0.1184023833056814,3.1,0.0,0.13188363394510816,2.1509390115429964e-05,0.11150305654349602,0.03855920380145547,0.0,0.0,-1.342793138097982e-07,-0.004815783936216401,-0.0002397841157690623,-1.7313815951991864e-07,-7.722059672713603e-07,0.0003626199310685392,0.8570170934422735,1.0,1.0,100.0,18.767084597070234,18.445416177148438,2022dec05
ZTF19abcttsc,16.675846,49.234484,fritz,2019klr,ZTF19abcttsc,0.02287915,58675.8386134337,0.002297128055872117,-1.9376267563298917,0.3530520899233178,0.118471330977285,3.1,0.0,0.19308099363843212,8.216191285188618e-05,0.06905164117553597,0.0318150498198389,0.0,0.0,-3.2834832226461907e-06,-0.004744275244119007,-0.00014833475312827762,2.4589378579987667e-07,-2.213456779756559e-06,-0.00022208680572201022,1.5254197477182033e-19,1.0,0.0,98.91304347826087,17.028558311999795,16.72966805826176,2022dec05
ZTF19abfwdyt,177.181989,14.051218,fritz,2019lek,ZTF19abfwdyt,0.01063156,58689.52094846848,0.006466034056291642,1.233779706251105,0.3604529066444033,0.041154157583795384,3.1,0.0,0.9384806936541281,0.0009902714273861907,1.4109937131542314,0.07569898165079025,0.0,0.0,-0.0006305086431329134,1.2278205941336133,0.06071378407630791,-0.0012742802026198688,-5.647078726176558e-05,0.08831894085600832,0.4012056246167471,0.0,0.0,0.0,15.906696085531246,15.674835284141214,2022dec05
ZTF19abggmim,214.87674,18.562067,fritz,2019lnz,ZTF19abggmim,0.06470015,58682.26139728378,0.0002502621627487919,-2.5934809722687846,0.18398892052758462,0.017544486874113113,3.1,0.0,0.36177275777663453,1.4307406214001764e-05,0.5751941365845188,0.05696031891936726,0.0,0.0,-1.4996502186422514e-06,0.09955520494995818,0.005464141253118638,-3.2530426532259258e-06,-6.49621223650433e-07,0.006734709615507803,0.34871238734439475,1.0,1.0,100.0,19.507235442668424,19.38639555856572,2022dec05
ZTF19abhbjge,240.955185,-6.595602,fritz,2019lpu,ZTF19abhbjge,0.03828315,58690.783818070806,0.001214279437283599,-2.7399023939163456,-0.07539703027374528,0.17919405326124935,3.1,0.0,0.4470136862473737,6.612732473145898e-05,0.49773727979440485,0.07178045934516258,0.0,0.0,2.7562743785707124e-06,-0.002271810585004526,-0.0047439888660193875,8.446524274327632e-08,-3.4526187444259458e-06,-0.010026642580118657,0.493982425161518,0.0,1.0,100.0,17.89853937280604,18.074641327964237,2022dec05
ZTF19abiahik,301.52572,8.152337,fritz,2019mad,ZTF19abiahik,0.03345981,58696.20700750279,0.0007993664098390906,-2.3552047545790007,0.014170984907612375,0.10258656509113145,3.1,0.0,0.12580290381083614,2.983743095367515e-05,0.09089010616342419,0.032828746046754356,0.0,0.0,3.6974856326453947e-07,-0.0031965681259328955,-0.0007028059538629682,-3.167768371860296e-07,-8.665043123712793e-07,5.128131401693489e-05,5.223449853902257e-81,1.0,0.0,94.55128205128206,18.31762870329101,18.397149423656423,2022dec05
ZTF19abioohk,328.812506,-12.149083,fritz,2019luv,ZTF19abioohk,0.05857461,58690.866616149055,0.00026898738051541637,-2.6068221872090573,0.4407772261768912,0.03016051680440892,3.1,0.0,0.38929512676259037,1.3680211616895683e-05,0.5259323887051273,0.04485344821267381,0.0,0.0,-1.5826220789345805e-06,-0.04448956405083468,0.0014535878367425605,-1.9354765676196365e-06,-5.150875690688841e-07,0.005710662827073726,0.02830992810929762,1.0,1.0,100.0,19.3161809933481,18.903624780021183,2022dec05
ZTF19abjpkdz,38.996982,10.441984,fritz,2019mbm,ZTF19abjpkdz,0.05643571,58699.501806277156,0.0004946830669287203,-3.0221864684416406,0.1038772151883106,0.08859897262136979,3.1,0.0,0.1199376659023983,1.6603606532413965e-05,0.2055628654294921,0.03220732874856234,0.0,0.0,-1.5823566728371464e-07,0.0008978131207682222,0.0002825401977692191,-6.662448803408768e-07,-4.510901401844954e-07,0.0007552454653259838,7.586790733369635e-07,1.0,0.0,100.0,18.79986974616633,18.76239036449039,2022dec05
ZTF19abkbkyb,324.89401,8.880148,fritz,2018enb,ZTF19abkbkyb,0.02842633,58337.8184507652,0.001485978064334491,-3.7213325364737506,0.17107159538167807,0.044352912751055865,3.1,0.0,0.20601569795326213,5.8497828019917625e-05,0.4217699927303049,0.03904805434460831,0.0,0.0,2.0541250074432597e-06,-0.008687953157941554,-0.00022430705350392645,-6.062793524168197e-06,-1.8872432077833137e-06,0.003101058339234663,0.011348414230350294,1.0,0.0,100.0,17.575469368933774,17.446477359070094,2022dec05
ZTF19ablusdf,288.784321,42.062023,fritz,2019njx,ZTF19ablusdf,0.05797344,58707.76642649798,0.0004291756375951025,-2.740463216432607,0.2769452325977262,0.08530056916523626,3.1,0.0,0.08353437521509477,1.415442723010939e-05,0.09421192235673681,0.029706247671465208,0.0,0.0,1.285954521892076e-07,0.0012310060181832125,-0.00014066749416102498,-1.1727220032311605e-07,-3.681039604371512e-07,0.00014772059317111146,0.11556569245090682,1.0,1.0,100.0,18.881279679247772,18.651205764100588,2022dec05
ZTF19abpqvdh,346.419808,27.665935,fritz,2019noh,ZTF19abpqvdh,0.02458318,58713.93856307908,0.00029369625655260607,-2.764900904443673,0.9873369587732981,0.09941478695419725,3.1,0.0,0.3187871349255147,1.4792693653149558e-05,0.16321823353647624,0.04141999639788685,0.0,0.0,-1.452176234382485e-06,-0.017898202866867895,0.0008148950782680725,-2.1908407869564174e-07,-5.374323842125564e-07,0.000555866107059384,6.3784903619390555e-24,1.0,0.0,98.01980198019803,18.956811036804176,17.937764266828953,2022dec05
